index,year,month,day,hour,minute,mars_sign,mars_deg,mars_arcmin,mars_arcsec,lat_deg,lat_arcmin,lat_arcmin_fraction,lat_direction,mean_long_sign_num,mean_long_deg,mean_long_arcmin,mean_long_arcsec,lambda_deg,beta_deg
1,1580,11,18,1,31,Gemini,6,28,35,1,40,,B,1,25,49,31,66.476389,1.666667
2,1582,12,28,3,58,Cancer,16,55,30,4,6,,B,3,9,24,55,106.925000,4.100000
3,1585,1,30,19,14,Leo,21,36,10,4,32,1/6,B,4,20,8,19,141.602778,4.536111
4,1587,3,6,7,23,Virgo,25,43,0,3,41,,B,6,0,47,40,175.716667,3.683333
5,1589,4,14,6,23,Scorpio,4,23,0,1,12,3/4,B,7,14,18,26,214.383333,1.212500
6,1591,6,8,7,43,Sagittarius,26,43,0,4,0,,M,9,5,43,55,266.716667,-4.000000
7,1593,8,25,17,27,Pisces,12,16,0,6,2,,M,11,9,55,4,342.266667,-6.033333
8,1595,10,31,0,39,Taurus,17,31,40,0,8,,B,1,7,14,9,47.527778,0.133333
9,1597,12,13,15,54,Cancer,2,28,0,3,33,,B,2,23,11,56,92.466667,3.550000
10,1600,1,18,14,2,Leo,8,38,0,4,30,5/6,B,4,4,35,50,128.633333,4.513889
11,1602,2,20,14,13,Virgo,12,27,0,4,10,,B,5,14,59,37,162.450000,4.166667
12,1604,3,28,16,23,Libra,18,37,10,2,26,,B,6,27,0,12,198.619444,2.433333
